feature,importance
id_23_IP_PROXY_TRANSPARENT,0.0
id_23_Unknown,0.0
id_27_NotFound,0.0
id_27_Unknown,0.0
id_28_New,0.0
id_29_NotFound,0.0
V81,0.0
id_29_Unknown,0.0
id_34_match_status_-1,0.0
id_34_match_status_0,0.0
id_34_match_status_1,0.0
addr2,0.0
V77,0.0
id_35_Unknown,0.0
id_36_T,0.0
id_36_Unknown,0.0
id_37_T,0.0
id_37_Unknown,0.0
id_38_T,0.0
id_38_Unknown,0.0
V76,0.0
M8_Unknown,0.0
M7_Unknown,0.0
V337,0.0
V88,0.0
DeviceInfo_is_rare,0.0
V3,0.0
P_emaildomain_is_rare,0.0
V2,0.0
R_emaildomain_is_rare,0.0
V93,0.0
V1,0.0
ProductCD_S,0.0
D14,0.0
card4_american express,0.0
V71,0.0
D13,0.0
V89,0.0
card6_charge card,0.0
D9,0.0
M7_T,0.0
card6_debit or credit,0.0
M1_T,0.0
M1_Unknown,0.0
M2_T,0.0
M2_Unknown,0.0
V87,0.0
M3_Unknown,0.0
V86,0.0
D7,0.0
V85,0.0
C3,0.0
dist2,0.0
V84,0.0
M6_Unknown,0.0
V338,0.0
V119,0.0
V336,0.0
V251,0.0
V237,0.0
V238,0.0
V180,0.0
V240,0.0
V241,0.0
V242,0.0
V57,0.0
V179,0.0
V177,0.0
V176,0.0
V247,0.0
V172,0.0
V249,0.0
V250,0.0
V252,0.0
V158,0.0
V171,0.0
V170,0.0
V255,0.0
V169,0.0
V55,0.0
V167,0.0
V166,0.0
V260,0.0
V164,0.0
V262,0.0
V163,0.0
V52,0.0
V162,0.0
V161,0.0
V236,0.0
V235,0.0
V234,0.0
V181,0.0
V202,0.0
V204,0.0
V205,0.0
V206,0.0
V195,0.0
V192,0.0
V191,0.0
V211,0.0
V212,0.0
V213,0.0
V214,0.0
V58,0.0
V216,0.0
V190,0.0
V60,0.0
V186,0.0
V220,0.0
V221,0.0
V222,0.0
V223,0.0
V224,0.0
V185,0.0
V226,0.0
V227,0.0
V228,0.0
V184,0.0
V230,0.0
V183,0.0
V182,0.0
V160,0.0
V269,0.0
V59,0.0
V319,0.0
V305,0.0
V139,0.0
V138,0.0
V137,0.0
V135,0.0
V134,0.0
V32,0.0
V31,0.0
V28,0.0
V27,0.0
V26,0.0
V132,0.0
V25,0.0
V65,0.0
V66,0.0
V270,0.0
V321,0.0
V322,0.0
V125,0.0
V124,0.0
V325,0.0
V123,0.0
V327,0.0
V328,0.0
V329,0.0
V330,0.0
V122,0.0
V121,0.0
V120,0.0
V334,0.0
V304,0.0
V140,0.0
V302,0.0
V301,0.0
V271,0.0
V73,0.0
V157,0.0
V155,0.0
V276,0.0
V154,0.0
V278,0.0
V50,0.0
V153,0.0
V46,0.0
V44,0.0
V43,0.0
V284,0.0
V42,0.0
V148,0.0
V41,0.0
V288,0.0
V147,0.0
V290,0.0
V291,0.0
V146,0.0
V145,0.0
V40,0.0
V144,0.0
V39,0.0
V143,0.0
V298,0.0
V142,0.0
V300,0.0
V215,0.0
